month,method,component,contribution,active_exposure
2020-02-29,exact_cardinality_cvar,factor:HML,0.004480967250019511,-0.23804026328369104
2020-02-29,exact_cardinality_cvar,factor:RMW,0.0021237077052623553,0.08814104536284811
2020-02-29,exact_cardinality_cvar,factor:CMA,0.00037193847807758256,-0.057305726679180005
2020-02-29,exact_cardinality_cvar,factor:MOM,-0.005088359731689091,-0.10474604570934948
2020-02-29,exact_cardinality_cvar,specific,-0.008120095506618838,
2020-02-29,exact_cardinality_cvar,transaction_cost,-2.374923302643278e-06,
2020-02-29,exact_cardinality_cvar,active_net_return,-0.002754660342837171,
2020-02-29,130_30_mathematical_appendix,factor:MKT_RF,0.0004911732522900612,-0.11502731199777816
2020-02-29,130_30_mathematical_appendix,factor:SMB,0.008206416479302462,0.18555937060877448
2020-02-29,130_30_mathematical_appendix,factor:HML,-0.0022848167985315866,0.12137522144913931
2020-02-29,130_30_mathematical_appendix,factor:RMW,-0.0013103668481784375,-0.0543846516736162
2020-02-29,130_30_mathematical_appendix,factor:CMA,0.0029801227135097495,-0.4591568438240031
2020-02-29,130_30_mathematical_appendix,factor:MOM,-0.0026423431934682294,-0.05439375663617549
2020-02-29,130_30_mathematical_appendix,specific,-0.026990268142478152,
2020-02-29,130_30_mathematical_appendix,transaction_cost,-3.332055911506873e-05,
2020-02-29,130_30_mathematical_appendix,active_net_return,-0.021583403096669205,
2020-03-31,equal_weight,factor:MKT_RF,-0.0,0.0
2020-03-31,equal_weight,factor:SMB,0.0,0.0
2020-03-31,equal_weight,factor:HML,-0.0,0.0
2020-03-31,equal_weight,factor:RMW,-0.0,0.0
2020-03-31,equal_weight,factor:CMA,-0.0,0.0
2020-03-31,equal_weight,factor:MOM,-0.0,0.0
2020-03-31,equal_weight,specific,0.0,
2020-03-31,equal_weight,transaction_cost,-1.1499439323775216e-05,
2020-03-31,equal_weight,active_net_return,-1.1499439323775216e-05,
2020-03-31,global_minimum_variance,factor:MKT_RF,0.007510746000548972,-0.25493384244979844
